
--- Running Applications at 2025-07-26 10:23:17 ---

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        456 K
Secure System                  140 Services                   0     41,288 K
Registry                       180 Services                   0     12,352 K
smss.exe                       696 Services                   0          8 K
csrss.exe                      728 Services                   0      1,344 K
wininit.exe                   1068 Services                   0        464 K
services.exe                  1140 Services                   0      5,532 K
LsaIso.exe                    1160 Services                   0        372 K
lsass.exe                     1168 Services                   0     12,592 K
svchost.exe                   1368 Services                   0     23,944 K
fontdrvhost.exe               1400 Services                   0         56 K
WUDFHost.exe                  1452 Services                   0        116 K
svchost.exe                   1536 Services                   0     14,976 K
svchost.exe                   1576 Services                   0      3,164 K
svchost.exe                   1768 Services                   0      1,276 K
svchost.exe                   1812 Services                   0      2,300 K
svchost.exe                   1820 Services                   0        732 K
svchost.exe                   1940 Services                   0      4,520 K
svchost.exe                   1964 Services                   0      1,900 K
svchost.exe                   1984 Services                   0      1,424 K
svchost.exe                   1992 Services                   0      1,644 K
svchost.exe                    668 Services                   0      2,020 K
IntelCpHDCPSvc.exe            1884 Services                   0        148 K
svchost.exe                    828 Services                   0      1,144 K
svchost.exe                   2136 Services                   0      9,168 K
svchost.exe                   2176 Services                   0      2,536 K
WUDFHost.exe                  2332 Services                   0      4,548 K
svchost.exe                   2376 Services                   0      2,040 K
svchost.exe                   2676 Services                   0      2,560 K
svchost.exe                   2800 Services                   0      1,888 K
svchost.exe                   2896 Services                   0      4,428 K
NVDisplay.Container.exe       3024 Services                   0     11,936 K
svchost.exe                   3052 Services                   0      2,444 K
svchost.exe                   2300 Services                   0      7,056 K
svchost.exe                   3080 Services                   0      1,052 K
svchost.exe                   3088 Services                   0      1,368 K
svchost.exe                   3100 Services                   0      7,444 K
Memory Compression            3232 Services                   0   1,25,416 K
svchost.exe                   3296 Services                   0        500 K
igfxCUIServiceN.exe           3360 Services                   0        220 K
svchost.exe                   3432 Services                   0      1,216 K
svchost.exe                   3440 Services                   0      2,424 K
AppHelperCap.exe              3456 Services                   0      4,196 K
NetworkCap.exe                3464 Services                   0        204 K
SysInfoCap.exe                3476 Services                   0     23,116 K
TouchpointAnalyticsClient     3488 Services                   0     30,032 K
DiagsCap.exe                  3500 Services                   0        188 K
svchost.exe                   3696 Services                   0      5,160 K
svchost.exe                   3704 Services                   0      4,144 K
hp-one-agent-service.exe      3776 Services                   0      1,224 K
svchost.exe                   3952 Services                   0     15,760 K
svchost.exe                    800 Services                   0     23,660 K
WmiPrvSE.exe                  4288 Services                   0      7,352 K
WmiPrvSE.exe                  4296 Services                   0     21,128 K
unsecapp.exe                  4448 Services                   0      2,208 K
svchost.exe                   4704 Services                   0      1,336 K
svchost.exe                   4800 Services                   0      1,964 K
svchost.exe                   4844 Services                   0      6,092 K
svchost.exe                   4872 Services                   0      2,852 K
spoolsv.exe                   4900 Services                   0        832 K
svchost.exe                   4936 Services                   0      5,452 K
svchost.exe                   5032 Services                   0      1,356 K
ETDService.exe                4372 Services                   0        296 K
svchost.exe                   4200 Services                   0     17,372 K
nssm.exe                      4320 Services                   0         96 K
svchost.exe                   4156 Services                   0     16,316 K
FNPLicensingService.exe       4600 Services                   0      5,680 K
esif_uf.exe                   4688 Services                   0         84 K
HPCommRecovery.exe            4152 Services                   0      2,728 K
OneApp.IGCC.WinService.ex     5132 Services                   0      8,356 K
IntelAudioService.exe         5168 Services                   0      5,704 K
UserAwarenessService.exe      5208 Services                   0      7,408 K
svchost.exe                   5232 Services                   0        536 K
jhi_service.exe               5248 Services                   0         72 K
mysqld.exe                    5368 Services                   0         88 K
RtkAudUService64.exe          5544 Services                   0      2,220 K
RtkBtManServ.exe              5568 Services                   0        136 K
expressvpnd.exe               5596 Services                   0      4,244 K
RstMwService.exe              5608 Services                   0        112 K
SECOMN64.exe                  5620 Services                   0      1,264 K
svchost.exe                   5640 Services                   0      2,412 K
svchost.exe                   5660 Services                   0        608 K
WMIRegistrationService.ex     5684 Services                   0        108 K
svchost.exe                   5776 Services                   0      2,420 K
