2025-07-26 01:01:52 - 
2025-07-26 01:01:52 - Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 01:01:52 - ========================= ======== ================ =========== ============
2025-07-26 01:01:52 - System Idle Process              0 Services                   0          8 K
2025-07-26 01:01:52 - System                           4 Services                   0      1,260 K
2025-07-26 01:01:52 - Secure System                  140 Services                   0     41,288 K
2025-07-26 01:01:52 - Registry                       180 Services                   0     55,992 K
2025-07-26 01:01:52 - smss.exe                       696 Services                   0        272 K
2025-07-26 01:01:52 - csrss.exe                      728 Services                   0      1,904 K
2025-07-26 01:01:52 - wininit.exe                   1068 Services                   0        860 K
2025-07-26 01:01:52 - services.exe                  1140 Services                   0      6,460 K
2025-07-26 01:01:52 - LsaIso.exe                    1160 Services                   0        412 K
2025-07-26 01:01:52 - lsass.exe                     1168 Services                   0     16,060 K
2025-07-26 01:01:52 - svchost.exe                   1368 Services                   0     32,452 K
2025-07-26 01:01:52 - fontdrvhost.exe               1400 Services                   0        340 K
2025-07-26 01:01:52 - WUDFHost.exe                  1452 Services                   0        172 K
2025-07-26 01:01:52 - svchost.exe                   1536 Services                   0     16,544 K
2025-07-26 01:01:52 - svchost.exe                   1576 Services                   0      3,668 K
2025-07-26 01:01:52 - svchost.exe                   1768 Services                   0      2,216 K
2025-07-26 01:01:52 - svchost.exe                   1812 Services                   0      9,112 K
2025-07-26 01:01:52 - svchost.exe                   1820 Services                   0        904 K
2025-07-26 01:01:52 - svchost.exe                   1940 Services                   0      5,880 K
2025-07-26 01:01:52 - svchost.exe                   1964 Services                   0      1,948 K
2025-07-26 01:01:52 - svchost.exe                   1984 Services                   0      2,648 K
2025-07-26 01:01:52 - svchost.exe                   1992 Services                   0      4,184 K
2025-07-26 01:01:52 - svchost.exe                    668 Services                   0      4,632 K
2025-07-26 01:01:52 - IntelCpHDCPSvc.exe            1884 Services                   0        252 K
2025-07-26 01:01:52 - svchost.exe                    828 Services                   0      2,680 K
2025-07-26 01:01:52 - svchost.exe                   2136 Services                   0     15,164 K
2025-07-26 01:01:52 - svchost.exe                   2176 Services                   0      4,204 K
2025-07-26 01:01:52 - WUDFHost.exe                  2332 Services                   0      6,192 K
2025-07-26 01:01:52 - svchost.exe                   2376 Services                   0      4,916 K
2025-07-26 01:01:52 - svchost.exe                   2676 Services                   0      3,460 K
2025-07-26 01:01:52 - svchost.exe                   2800 Services                   0      2,164 K
2025-07-26 01:01:52 - svchost.exe                   2896 Services                   0      8,828 K
2025-07-26 01:01:52 - NVDisplay.Container.exe       3024 Services                   0     14,028 K
2025-07-26 01:01:52 - svchost.exe                   3052 Services                   0      9,260 K
2025-07-26 01:01:52 - svchost.exe                   2300 Services                   0      9,540 K
2025-07-26 01:01:52 - svchost.exe                   3080 Services                   0      2,516 K
2025-07-26 01:01:52 - svchost.exe                   3088 Services                   0      1,368 K
2025-07-26 01:01:52 - svchost.exe                   3100 Services                   0      9,236 K
2025-07-26 01:01:52 - Memory Compression            3232 Services                   0     73,404 K
2025-07-26 01:01:52 - svchost.exe                   3296 Services                   0      1,616 K
2025-07-26 01:01:52 - igfxCUIServiceN.exe           3360 Services                   0        964 K
2025-07-26 01:01:52 - svchost.exe                   3432 Services                   0      1,476 K
2025-07-26 01:01:52 - svchost.exe                   3440 Services                   0      3,508 K
2025-07-26 01:01:52 - AppHelperCap.exe              3456 Services                   0      7,316 K
2025-07-26 01:01:52 - NetworkCap.exe                3464 Services                   0      2,720 K
2025-07-26 01:01:52 - SysInfoCap.exe                3476 Services                   0     18,572 K
2025-07-26 01:01:52 - TouchpointAnalyticsClient     3488 Services                   0     86,812 K
2025-07-26 01:01:52 - DiagsCap.exe                  3500 Services                   0        364 K
2025-07-26 01:01:52 - svchost.exe                   3696 Services                   0      7,384 K
2025-07-26 01:01:52 - svchost.exe                   3704 Services                   0     10,948 K
2025-07-26 01:01:52 - hp-one-agent-service.exe      3776 Services                   0      4,588 K
2025-07-26 01:01:52 - svchost.exe                   3952 Services                   0     23,988 K
2025-07-26 01:01:52 - svchost.exe                    800 Services                   0     25,640 K
2025-07-26 01:01:52 - WmiPrvSE.exe                  4288 Services                   0      9,332 K
2025-07-26 01:01:52 - WmiPrvSE.exe                  4296 Services                   0     29,500 K
2025-07-26 01:01:52 - unsecapp.exe                  4448 Services                   0      2,388 K
2025-07-26 01:01:52 - svchost.exe                   4704 Services                   0      1,804 K
2025-07-26 01:01:52 - svchost.exe                   4800 Services                   0      3,260 K
2025-07-26 01:01:52 - svchost.exe                   4844 Services                   0     10,320 K
2025-07-26 01:01:52 - svchost.exe                   4872 Services                   0      2,988 K
2025-07-26 01:01:52 - spoolsv.exe                   4900 Services                   0      3,780 K
2025-07-26 01:01:52 - svchost.exe                   4936 Services                   0     14,108 K
2025-07-26 01:01:52 - svchost.exe                   5032 Services                   0      2,900 K
2025-07-26 01:01:52 - ETDService.exe                4372 Services                   0        456 K
2025-07-26 01:01:52 - svchost.exe                   4200 Services                   0     25,524 K
2025-07-26 01:01:52 - nssm.exe                      4320 Services                   0        264 K
2025-07-26 01:01:52 - svchost.exe                   4156 Services                   0     22,512 K
2025-07-26 01:01:52 - FNPLicensingService.exe       4600 Services                   0      5,892 K
2025-07-26 01:01:52 - esif_uf.exe                   4688 Services                   0        196 K
2025-07-26 01:01:52 - HPCommRecovery.exe            4152 Services                   0      2,636 K
2025-07-26 01:01:52 - OneApp.IGCC.WinService.ex     5132 Services                   0      6,920 K
2025-07-26 01:01:52 - IntelAudioService.exe         5168 Services                   0      2,452 K
2025-07-26 01:01:52 - UserAwarenessService.exe      5208 Services                   0      7,340 K
2025-07-26 01:01:52 - svchost.exe                   5232 Services                   0      2,756 K
2025-07-26 01:01:52 - jhi_service.exe               5248 Services                   0         44 K
2025-07-26 01:01:52 - mysqld.exe                    5368 Services                   0         80 K
2025-07-26 01:01:52 - RtkAudUService64.exe          5544 Services                   0      1,740 K
2025-07-26 01:01:52 - RtkBtManServ.exe              5568 Services                   0        528 K
2025-07-26 01:01:52 - expressvpnd.exe               5596 Services                   0      9,040 K
2025-07-26 01:01:52 - RstMwService.exe              5608 Services                   0         44 K
2025-07-26 01:01:52 - SECOMN64.exe                  5620 Services                   0      1,016 K
2025-07-26 01:01:52 - svchost.exe                   5640 Services                   0      3,780 K
2025-07-26 01:01:52 - svchost.exe                   5660 Services                   0        772 K
2025-07-26 01:01:52 - WMIRegistrationService.ex     5684 Services                   0        100 K
2025-07-26 01:01:52 - svchost.exe                   5776 Services                   0      6,192 K
2025-07-26 01:01:52 - svchost.exe                   5816 Services                   0      1,304 K
2025-07-26 01:01:52 - svchost.exe                   5852 Services                   0      1,152 K
2025-07-26 01:01:52 - conhost.exe                   5892 Services                   0        488 K
2025-07-26 01:01:52 - mysqld.exe                    6256 Services                   0      1,924 K
2025-07-26 01:01:52 - conhost.exe                   6408 Services                   0        444 K
2025-07-26 01:01:52 - svchost.exe                   6832 Services                   0      1,052 K
2025-07-26 01:01:52 - svchost.exe                   6576 Services                   0     15,108 K
2025-07-26 01:01:52 - svchost.exe                   6596 Services                   0     14,216 K
2025-07-26 01:01:52 - AggregatorHost.exe            8120 Services                   0      6,644 K
2025-07-26 01:01:52 - svchost.exe                   7328 Services                   0      4,148 K
2025-07-26 01:01:52 - svchost.exe                   5724 Services                   0     12,316 K
2025-07-26 01:01:52 - svchost.exe                   7008 Services                   0      2,596 K
2025-07-26 01:01:52 - svchost.exe                   7892 Services                   0      3,036 K
2025-07-26 01:01:52 - svchost.exe                   1896 Services                   0      7,448 K
2025-07-26 01:01:52 - svchost.exe                   4988 Services                   0     19,232 K
2025-07-26 01:01:53 - svchost.exe                   4740 Services                   0      2,968 K
2025-07-26 01:01:53 - svchost.exe                   2080 Services                   0     10,208 K
2025-07-26 01:01:53 - svchost.exe                  10084 Services                   0     16,568 K
2025-07-26 01:01:53 - svchost.exe                  10480 Services                   0     14,888 K
2025-07-26 01:01:53 - svchost.exe                   5944 Services                   0      7,516 K
2025-07-26 01:01:53 - svchost.exe                  13756 Services                   0      3,588 K
2025-07-26 01:01:53 - svchost.exe                  14320 Services                   0      1,040 K
2025-07-26 01:01:53 - svchost.exe                  13104 Services                   0      1,652 K
2025-07-26 01:01:53 - svchost.exe                   2780 Services                   0      3,824 K
2025-07-26 01:01:53 - SecurityHealthService.exe     9048 Services                   0      9,824 K
2025-07-26 01:01:53 - svchost.exe                   8732 Services                   0      7,784 K
2025-07-26 01:01:53 - dasHost.exe                  12364 Services                   0      4,100 K
2025-07-26 01:01:53 - svchost.exe                   8616 Services                   0      3,600 K
2025-07-26 01:01:53 - dasHost.exe                  16936 Services                   0      1,664 K
2025-07-26 01:01:53 - svchost.exe                  13792 Services                   0      1,216 K
2025-07-26 01:01:53 - svchost.exe                  15252 Services                   0      2,112 K
2025-07-26 01:01:53 - svchost.exe                   2088 Services                   0      2,524 K
2025-07-26 01:01:53 - svchost.exe                   7572 Services                   0      3,144 K
2025-07-26 01:01:53 - TouchpointGpuInfo.exe         7072 Services                   0     10,948 K
2025-07-26 01:01:53 - svchost.exe                   8152 Services                   0      8,772 K
2025-07-26 01:01:53 - servicehost.exe              10192 Services                   0     20,340 K
2025-07-26 01:01:53 - WindowsTerminal.exe          16748                           14         36 K
2025-07-26 01:01:53 - svchost.exe                   5240 Services                   0      1,100 K
2025-07-26 01:01:53 - HPPrintScanDoctorService.    22484 Services                   0      3,492 K
2025-07-26 01:01:53 - WindowsTerminal.exe           8484                           16         36 K
2025-07-26 01:01:53 - OfficeClickToRun.exe         19260 Services                   0      9,388 K
2025-07-26 01:01:53 - SearchIndexer.exe             8160 Services                   0     18,000 K
2025-07-26 01:01:53 - armsvc.exe                   22308 Services                   0      2,528 K
2025-07-26 01:01:53 - svchost.exe                  22388 Services                   0      1,648 K
2025-07-26 01:01:53 - svchost.exe                  12028 Services                   0      3,444 K
2025-07-26 01:01:53 - svchost.exe                  22120 Services                   0        996 K
2025-07-26 01:01:53 - svchost.exe                   6980 Services                   0     14,696 K
2025-07-26 01:01:53 - MpDefenderCoreService.exe    13868 Services                   0     10,360 K
2025-07-26 01:01:53 - MsMpEng.exe                   2008 Services                   0   1,61,384 K
2025-07-26 01:01:53 - NisSrv.exe                   22968 Services                   0      2,424 K
2025-07-26 01:01:53 - svchost.exe                   9376 Services                   0      1,560 K
2025-07-26 01:01:53 - WindowsTerminal.exe          16480                           24         36 K
2025-07-26 01:01:53 - csrss.exe                    14988 Console                   27      3,052 K
2025-07-26 01:01:53 - winlogon.exe                  5984 Console                   27      4,920 K
2025-07-26 01:01:53 - dwm.exe                       2860 Console                   27     95,220 K
2025-07-26 01:01:53 - fontdrvhost.exe              11880 Console                   27      1,416 K
2025-07-26 01:01:53 - NVDisplay.Container.exe      12788 Console                   27     10,524 K
2025-07-26 01:01:53 - ETDCtrl.exe                   4104 Console                   27      2,768 K
2025-07-26 01:01:53 - sihost.exe                   24196 Console                   27     20,612 K
2025-07-26 01:01:53 - svchost.exe                  11208 Console                   27     11,736 K
2025-07-26 01:01:53 - svchost.exe                  11836 Console                   27      2,576 K
2025-07-26 01:01:53 - igfxEMN.exe                  18216 Console                   27      2,932 K
2025-07-26 01:01:53 - svchost.exe                   7744 Console                   27     13,692 K
2025-07-26 01:01:53 - taskhostw.exe                13448 Console                   27      9,956 K
2025-07-26 01:01:53 - svchost.exe                  16164 Services                   0      1,532 K
2025-07-26 01:01:53 - explorer.exe                 19824 Console                   27   2,67,276 K
2025-07-26 01:01:53 - ShellHost.exe                 9776 Console                   27      9,976 K
2025-07-26 01:01:53 - UserAwarenessHelper.exe       7084 Console                   27      8,092 K
2025-07-26 01:01:53 - uihost.exe                   17228 Console                   27     14,536 K
2025-07-26 01:01:53 - SECOCL64.exe                  9284 Console                   27      2,400 K
2025-07-26 01:01:53 - conhost.exe                  13640 Console                   27      1,060 K
