2025-07-26 13:09:20 - 🚀 Starting User Activity Tracker...
2025-07-26 13:09:20 - 🖥️ Tracking running applications...
2025-07-26 13:09:20 - 📂 Watching folder: C:\Users\hp\OneDrive\Desktop\dummy
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624
2025-07-26 13:09:20 - 🔓 LOGIN event detected: Event ID 4624S
2025-07-26 13:09:20 - 🪟 Running Process: 
2025-07-26 13:09:20 - 🪟 Running Process: Image Name                     PID Session Name        Session#    Mem Usage
2025-07-26 13:09:20 - 🪟 Running Process: ========================= ======== ================ =========== ============
2025-07-26 13:09:20 - 🪟 Running Process: System Idle Process              0 Services                   0          8 K
2025-07-26 13:09:20 - 🪟 Running Process: System                           4 Services                   0      1,080 K
2025-07-26 13:09:20 - 🪟 Running Process: Secure System                  140 Services                   0     41,288 K
2025-07-26 13:09:20 - 🪟 Running Process: Registry                       180 Services                   0     40,524 K
2025-07-26 13:09:20 - 🪟 Running Process: smss.exe                       696 Services                   0         24 K
2025-07-26 13:09:20 - 🪟 Running Process: csrss.exe                      728 Services                   0      2,560 K
2025-07-26 13:09:20 - 🪟 Running Process: wininit.exe                   1068 Services                   0      1,320 K
2025-07-26 13:09:20 - 🪟 Running Process: services.exe                  1140 Services                   0      6,296 K
2025-07-26 13:09:20 - 🪟 Running Process: LsaIso.exe                    1160 Services                   0      1,568 K
2025-07-26 13:09:20 - 🪟 Running Process: lsass.exe                     1168 Services                   0     16,964 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1368 Services                   0     30,676 K
2025-07-26 13:09:20 - 🪟 Running Process: fontdrvhost.exe               1400 Services                   0        436 K
2025-07-26 13:09:20 - 🪟 Running Process: WUDFHost.exe                  1452 Services                   0      1,224 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1536 Services                   0     17,136 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1576 Services                   0      3,868 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1768 Services                   0      3,260 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1812 Services                   0      8,732 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1820 Services                   0        948 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1940 Services                   0      5,372 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1964 Services                   0      2,088 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1984 Services                   0      4,464 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   1992 Services                   0      3,332 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                    668 Services                   0      3,200 K
2025-07-26 13:09:20 - 🪟 Running Process: IntelCpHDCPSvc.exe            1884 Services                   0        816 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                    828 Services                   0      2,616 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2136 Services                   0     16,252 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2176 Services                   0      4,240 K
2025-07-26 13:09:20 - 🪟 Running Process: WUDFHost.exe                  2332 Services                   0      6,044 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2376 Services                   0      4,548 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2676 Services                   0      3,632 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2800 Services                   0      2,124 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2896 Services                   0      7,360 K
2025-07-26 13:09:20 - 🪟 Running Process: NVDisplay.Container.exe       3024 Services                   0     16,340 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   3052 Services                   0      7,608 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   2300 Services                   0     11,924 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   3080 Services                   0      4,628 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   3088 Services                   0        992 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   3100 Services                   0      8,464 K
2025-07-26 13:09:20 - 🪟 Running Process: Memory Compression            3232 Services                   0   1,77,308 K
2025-07-26 13:09:20 - 🪟 Running Process: svchost.exe                   3296 Services                   0      2,624 K
2025-07-26 13:09:20 - 🪟 Running Process: igfxCUIServiceN.exe           3360 Services                   0      1,832 K
